dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Statistical Parity Difference_mean,Statistical Parity Difference_std,Statistical Parity Difference,Equal Opportunity Difference_mean,Equal Opportunity Difference_std,Equal Opportunity Difference,Overall Accuracy Equality Difference_mean,Overall Accuracy Equality Difference_std,Overall Accuracy Equality Difference,Treatment Equality Difference_mean,Treatment Equality Difference_std,Treatment Equality Difference
bail,GAT,50,0.5034,0.1259,0.5034 ± 0.1259,0.0043,0.0140,0.0043 ± 0.0140,0.0041,0.0125,0.0041 ± 0.0125,0.0624,0.0103,0.0624 ± 0.0103,0.1360,0.6998,0.1360 ± 0.6998
bail,GAT+FAME,50,0.8470,0.1059,0.8470 ± 0.1059,0.0530,0.0224,0.0530 ± 0.0224,0.0228,0.0173,0.0228 ± 0.0173,0.0193,0.0199,0.0193 ± 0.0199,3.2600,6.3513,3.2600 ± 6.3513
bail,GAT+FAME+PFR,11,0.8483,0.1204,0.8483 ± 0.1204,0.0525,0.0271,0.0525 ± 0.0271,0.0165,0.0107,0.0165 ± 0.0107,0.0204,0.0231,0.0204 ± 0.0231,0.6570,0.8879,0.6570 ± 0.8879
bail,GAT+PFR,11,0.5112,0.1261,0.5112 ± 0.1261,0.0003,0.0009,0.0003 ± 0.0009,0.0000,0.0000,0.0000 ± 0.0000,0.0646,0.0009,0.0646 ± 0.0009,0.0000,0.0000,0.0000 ± 0.0000
bail,GCN,50,0.6752,0.0678,0.6752 ± 0.0678,0.0206,0.0214,0.0206 ± 0.0214,0.0142,0.0124,0.0142 ± 0.0124,0.0524,0.0153,0.0524 ± 0.0153,26.8788,57.6181,26.8788 ± 57.6181
bail,GCN+FAME,50,0.6301,0.0072,0.6301 ± 0.0072,0.0074,0.0028,0.0074 ± 0.0028,0.0064,0.0043,0.0064 ± 0.0043,0.0635,0.0031,0.0635 ± 0.0031,112.0991,81.1546,112.0991 ± 81.1546
bail,GCN+FAME+PFR,11,0.5716,0.1022,0.5716 ± 0.1022,0.0155,0.0235,0.0155 ± 0.0235,0.0176,0.0314,0.0176 ± 0.0314,0.0600,0.0211,0.0600 ± 0.0211,9.3056,21.6391,9.3056 ± 21.6391
bail,GCN+PFR,11,0.6662,0.0468,0.6662 ± 0.0468,0.0155,0.0139,0.0155 ± 0.0139,0.0130,0.0103,0.0130 ± 0.0103,0.0505,0.0212,0.0505 ± 0.0212,34.1426,57.2497,34.1426 ± 57.2497
bail,GIN,50,0.8460,0.1103,0.8460 ± 0.1103,0.0564,0.0153,0.0564 ± 0.0153,0.0295,0.0134,0.0295 ± 0.0134,0.0211,0.0117,0.0211 ± 0.0117,0.1391,0.2780,0.1391 ± 0.2780
bail,GIN+PFR,11,0.7420,0.1723,0.7420 ± 0.1723,0.0491,0.0224,0.0491 ± 0.0224,0.0190,0.0126,0.0190 ± 0.0126,0.0237,0.0190,0.0237 ± 0.0190,0.0275,0.0262,0.0275 ± 0.0262
credit,GAT,50,0.6155,0.2308,0.6155 ± 0.2308,0.0206,0.0391,0.0206 ± 0.0391,0.0234,0.0449,0.0234 ± 0.0449,0.0892,0.0234,0.0892 ± 0.0234,1.3287,3.6350,1.3287 ± 3.6350
credit,GAT+FAME,50,0.7687,0.0328,0.7687 ± 0.0328,0.0085,0.0243,0.0085 ± 0.0243,0.0078,0.0249,0.0078 ± 0.0249,0.0995,0.0093,0.0995 ± 0.0093,0.0431,0.1587,0.0431 ± 0.1587
credit,GAT+FAME+PFR,11,0.7708,0.0177,0.7708 ± 0.0177,0.0072,0.0137,0.0072 ± 0.0137,0.0064,0.0112,0.0064 ± 0.0112,0.0977,0.0077,0.0977 ± 0.0077,0.0363,0.0772,0.0363 ± 0.0772
credit,GAT+PFR,11,0.6089,0.2036,0.6089 ± 0.2036,0.0482,0.0554,0.0482 ± 0.0554,0.0540,0.0621,0.0540 ± 0.0621,0.0776,0.0304,0.0776 ± 0.0304,15.8016,49.7714,15.8016 ± 49.7714
credit,GCN,50,0.7533,0.0579,0.7533 ± 0.0579,0.0254,0.0599,0.0254 ± 0.0599,0.0234,0.0523,0.0234 ± 0.0523,0.0905,0.0193,0.0905 ± 0.0193,0.2554,0.9012,0.2554 ± 0.9012
credit,GCN+FAME,50,0.7779,0.0011,0.7779 ± 0.0011,0.0119,0.0151,0.0119 ± 0.0151,0.0148,0.0199,0.0148 ± 0.0199,0.1098,0.0125,0.1098 ± 0.0125,0.0330,0.0434,0.0330 ± 0.0434
credit,GCN+FAME+PFR,11,0.7784,0.0006,0.7784 ± 0.0006,0.0057,0.0094,0.0057 ± 0.0094,0.0066,0.0118,0.0066 ± 0.0118,0.1049,0.0069,0.1049 ± 0.0069,0.0149,0.0256,0.0149 ± 0.0256
credit,GCN+PFR,11,0.7675,0.0209,0.7675 ± 0.0209,0.0099,0.0108,0.0099 ± 0.0108,0.0088,0.0112,0.0088 ± 0.0112,0.0944,0.0113,0.0944 ± 0.0113,0.0440,0.0753,0.0440 ± 0.0753
credit,GIN,50,0.7787,0.0000,0.7787 ± 0.0000,0.0000,0.0001,0.0000 ± 0.0001,0.0000,0.0001,0.0000 ± 0.0001,0.1016,0.0000,0.1016 ± 0.0000,0.0000,0.0002,0.0000 ± 0.0002
credit,GIN+PFR,11,0.7787,0.0000,0.7787 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.1016,0.0000,0.1016 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GAT,50,0.5178,0.2243,0.5178 ± 0.2243,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0340,0.0000,0.0340 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GAT+FAME,50,0.6430,0.1488,0.6430 ± 0.1488,0.0305,0.0602,0.0305 ± 0.0602,0.0391,0.0713,0.0391 ± 0.0713,0.0509,0.0410,0.0509 ± 0.0410,0.8447,2.7695,0.8447 ± 2.7695
german,GAT+FAME+PFR,11,0.6526,0.1546,0.6526 ± 0.1546,0.0262,0.0555,0.0262 ± 0.0555,0.0193,0.0430,0.0193 ± 0.0430,0.0349,0.0105,0.0349 ± 0.0105,0.3558,1.0193,0.3558 ± 1.0193
german,GAT+PFR,11,0.4392,0.2248,0.4392 ± 0.2248,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0340,0.0000,0.0340 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GCN,50,0.6010,0.1982,0.6010 ± 0.1982,0.0018,0.0113,0.0018 ± 0.0113,0.0005,0.0026,0.0005 ± 0.0026,0.0352,0.0070,0.0352 ± 0.0070,0.0448,0.3165,0.0448 ± 0.3165
german,GCN+FAME,50,0.7228,0.0000,0.7228 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0340,0.0000,0.0340 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GCN+FAME+PFR,11,0.7201,0.0046,0.7201 ± 0.0046,0.0034,0.0058,0.0034 ± 0.0058,0.0047,0.0081,0.0047 ± 0.0081,0.0373,0.0058,0.0373 ± 0.0058,0.0119,0.0203,0.0119 ± 0.0203
german,GCN+PFR,11,0.6526,0.1584,0.6526 ± 0.1584,0.0014,0.0047,0.0014 ± 0.0047,0.0053,0.0177,0.0053 ± 0.0177,0.0418,0.0259,0.0418 ± 0.0259,0.4318,1.4322,0.4318 ± 1.4322
german,GIN,50,0.7069,0.0400,0.7069 ± 0.0400,0.0361,0.0783,0.0361 ± 0.0783,0.0344,0.0716,0.0344 ± 0.0716,0.0381,0.0155,0.0381 ± 0.0155,0.3230,1.0544,0.3230 ± 1.0544
german,GIN+PFR,11,0.7219,0.0030,0.7219 ± 0.0030,0.0045,0.0151,0.0045 ± 0.0151,0.0061,0.0201,0.0061 ± 0.0201,0.0323,0.0054,0.0323 ± 0.0054,0.0182,0.0603,0.0182 ± 0.0603
